,index,Latitude,Longitude,Parking Space,Placed fire trucks,Minute range,Part of day
0,0,52.3637,4.8822,Leidseplein,2,5,Morning
1,1,52.3687,4.8772,Appeltjesmarkt,2,5,Morning
2,0,52.3637,4.8822,Leidseplein,2,5,Afternoon
3,1,52.3687,4.8772,Appeltjesmarkt,2,5,Afternoon
4,0,52.3637,4.8822,Leidseplein,2,5,Evening
5,1,52.3687,4.8772,Appeltjesmarkt,2,5,Evening
6,0,52.3637,4.8822,Leidseplein,2,5,Night
7,1,52.3687,4.8772,Appeltjesmarkt,2,5,Night
8,0,52.3631,4.8808,Leidsebosje,3,2,Morning
9,1,52.3637,4.8822,Leidseplein,3,2,Morning
10,2,52.3612,4.908,Weesperplein,3,2,Morning
11,0,52.3631,4.8808,Leidsebosje,3,2,Afternoon
12,1,52.3637,4.8822,Leidseplein,3,2,Afternoon
13,2,52.3612,4.908,Weesperplein,3,2,Afternoon
14,0,52.3631,4.8808,Leidsebosje,3,2,Evening
15,1,52.3637,4.8822,Leidseplein,3,2,Evening
16,2,52.3612,4.908,Weesperplein,3,2,Evening
17,0,52.3631,4.8808,Leidsebosje,3,2,Night
18,1,52.3637,4.8822,Leidseplein,3,2,Night
19,2,52.3612,4.908,Weesperplein,3,2,Night
20,0,52.3631,4.8808,Leidsebosje,3,3,Morning
21,1,52.3637,4.8822,Leidseplein,3,3,Morning
22,2,52.3687,4.8772,Appeltjesmarkt,3,3,Morning
23,0,52.3631,4.8808,Leidsebosje,3,3,Afternoon
24,1,52.3637,4.8822,Leidseplein,3,3,Afternoon
25,2,52.3687,4.8772,Appeltjesmarkt,3,3,Afternoon
26,0,52.3631,4.8808,Leidsebosje,3,3,Evening
27,1,52.3637,4.8822,Leidseplein,3,3,Evening
28,2,52.3687,4.8772,Appeltjesmarkt,3,3,Evening
29,0,52.3631,4.8808,Leidsebosje,3,3,Night
30,1,52.3637,4.8822,Leidseplein,3,3,Night
31,2,52.3687,4.8772,Appeltjesmarkt,3,3,Night
32,0,52.3631,4.8808,Leidsebosje,3,4,Morning
33,1,52.3637,4.8822,Leidseplein,3,4,Morning
34,2,52.3687,4.8772,Appeltjesmarkt,3,4,Morning
35,0,52.3631,4.8808,Leidsebosje,3,4,Afternoon
36,1,52.3637,4.8822,Leidseplein,3,4,Afternoon
37,2,52.3687,4.8772,Appeltjesmarkt,3,4,Afternoon
38,0,52.3631,4.8808,Leidsebosje,3,4,Evening
39,1,52.3637,4.8822,Leidseplein,3,4,Evening
40,2,52.3687,4.8772,Appeltjesmarkt,3,4,Evening
41,0,52.3631,4.8808,Leidsebosje,3,4,Night
42,1,52.3637,4.8822,Leidseplein,3,4,Night
43,2,52.3687,4.8772,Appeltjesmarkt,3,4,Night
44,0,52.3637,4.8822,Leidseplein,3,5,Morning
45,1,52.3687,4.8772,Appeltjesmarkt,3,5,Morning
46,2,52.3631,4.8808,Leidsebosje,3,5,Morning
47,0,52.3637,4.8822,Leidseplein,3,5,Afternoon
48,1,52.3687,4.8772,Appeltjesmarkt,3,5,Afternoon
49,2,52.3631,4.8808,Leidsebosje,3,5,Afternoon
50,0,52.3637,4.8822,Leidseplein,3,5,Evening
51,1,52.3687,4.8772,Appeltjesmarkt,3,5,Evening
52,2,52.3631,4.8808,Leidsebosje,3,5,Evening
53,0,52.3637,4.8822,Leidseplein,3,5,Night
54,1,52.3687,4.8772,Appeltjesmarkt,3,5,Night
55,2,52.3631,4.8808,Leidsebosje,3,5,Night
56,0,52.3631,4.8808,Leidsebosje,4,2,Morning
57,1,52.3637,4.8822,Leidseplein,4,2,Morning
58,2,52.3612,4.908,Weesperplein,4,2,Morning
59,3,52.3687,4.8772,Appeltjesmarkt,4,2,Morning
60,0,52.3631,4.8808,Leidsebosje,4,2,Afternoon
61,1,52.3637,4.8822,Leidseplein,4,2,Afternoon
62,2,52.3612,4.908,Weesperplein,4,2,Afternoon
63,3,52.3687,4.8772,Appeltjesmarkt,4,2,Afternoon
64,0,52.3631,4.8808,Leidsebosje,4,2,Evening
65,1,52.3637,4.8822,Leidseplein,4,2,Evening
66,2,52.3612,4.908,Weesperplein,4,2,Evening
67,3,52.3687,4.8772,Appeltjesmarkt,4,2,Evening
68,0,52.3631,4.8808,Leidsebosje,4,2,Night
69,1,52.3637,4.8822,Leidseplein,4,2,Night
70,2,52.3612,4.908,Weesperplein,4,2,Night
71,3,52.3687,4.8772,Appeltjesmarkt,4,2,Night
72,0,52.3631,4.8808,Leidsebosje,4,3,Morning
73,1,52.3637,4.8822,Leidseplein,4,3,Morning
74,2,52.3687,4.8772,Appeltjesmarkt,4,3,Morning
75,3,52.3628595,4.8833056,Max Euweplein,4,3,Morning
76,0,52.3631,4.8808,Leidsebosje,4,3,Afternoon
77,1,52.3637,4.8822,Leidseplein,4,3,Afternoon
78,2,52.3687,4.8772,Appeltjesmarkt,4,3,Afternoon
79,3,52.3628595,4.8833056,Max Euweplein,4,3,Afternoon
80,0,52.3631,4.8808,Leidsebosje,4,3,Evening
81,1,52.3637,4.8822,Leidseplein,4,3,Evening
82,2,52.3687,4.8772,Appeltjesmarkt,4,3,Evening
83,3,52.3628595,4.8833056,Max Euweplein,4,3,Evening
84,0,52.3631,4.8808,Leidsebosje,4,3,Night
85,1,52.3637,4.8822,Leidseplein,4,3,Night
86,2,52.3687,4.8772,Appeltjesmarkt,4,3,Night
87,3,52.3628595,4.8833056,Max Euweplein,4,3,Night
88,0,52.3631,4.8808,Leidsebosje,4,4,Morning
89,1,52.3637,4.8822,Leidseplein,4,4,Morning
90,2,52.3687,4.8772,Appeltjesmarkt,4,4,Morning
91,3,52.3713,4.87531,Groenmarkt,4,4,Morning
92,0,52.3631,4.8808,Leidsebosje,4,4,Afternoon
93,1,52.3637,4.8822,Leidseplein,4,4,Afternoon
94,2,52.3687,4.8772,Appeltjesmarkt,4,4,Afternoon
95,3,52.3713,4.87531,Groenmarkt,4,4,Afternoon
96,0,52.3631,4.8808,Leidsebosje,4,4,Evening
97,1,52.3637,4.8822,Leidseplein,4,4,Evening
98,2,52.3687,4.8772,Appeltjesmarkt,4,4,Evening
99,3,52.3713,4.87531,Groenmarkt,4,4,Evening
100,0,52.3631,4.8808,Leidsebosje,4,4,Night
101,1,52.3637,4.8822,Leidseplein,4,4,Night
102,2,52.3687,4.8772,Appeltjesmarkt,4,4,Night
103,3,52.3713,4.87531,Groenmarkt,4,4,Night
104,0,52.3637,4.8822,Leidseplein,4,5,Morning
105,1,52.3687,4.8772,Appeltjesmarkt,4,5,Morning
106,2,52.3631,4.8808,Leidsebosje,4,5,Morning
107,3,52.3628595,4.8833056,Max Euweplein,4,5,Morning
108,0,52.3637,4.8822,Leidseplein,4,5,Afternoon
109,1,52.3687,4.8772,Appeltjesmarkt,4,5,Afternoon
110,2,52.3631,4.8808,Leidsebosje,4,5,Afternoon
111,3,52.3628595,4.8833056,Max Euweplein,4,5,Afternoon
