Wijkcode,Wijknaam,LNG,LAT,demand
A00,Burgwallen-Oude Zijde,4.897634,52.372295,3.0
A01,Burgwallen-Nieuwe Zijde,4.897118,52.374935,3.0
A02,Grachtengordel-West,4.8882135,52.373349,2.0
A03,Grachtengordel-Zuid,4.892784,52.365051,2.0
A04,Nieuwmarkt/Lastage,4.904438,52.37291,3.0
A05,Haarlemmerbuurt,4.8902195,52.383729,2.0
A06,Jordaan,4.8814385,52.3745525,3.0
A07,De Weteringschans,4.8919255,52.3620555,3.0
A08,Weesperbuurt/Plantage,4.911765,52.3644555,3.0
A09,Oostelijke Eilanden/Kadijken,4.9218295,52.3707205,2.0
E13,Spaarndammer- en Zeeheldenbuurt,4.8744225,52.390432,2.0
E14,Staatsliedenbuurt,4.8752065,52.38081,2.0
B10,Westelijk Havengebied,4.807314,52.4114805,3.0
E12,Houthavens,4.8803175,52.3937845,1.0
E15,Centrale Markt,4.8656735,52.3790425,1.0
E16,Frederik Hendrikbuurt,4.873115,52.3767595,2.0
E17,Da Costabuurt,4.8721075,52.3701305,1.0
E18,Kinkerbuurt,4.86544,52.368099,2.0
E19,Van Lennepbuurt,4.8674875,52.365027,2.0
E20,Helmersbuurt,4.8715505,52.3635335,2.0
E21,Overtoomse Sluis,4.8598305,52.3597385,1.0
E22,Vondelbuurt,4.873396,52.361583,2.0
E36,Sloterdijk,4.8545395,52.390316,1.0
E37,Landlust,4.854254,52.379876,3.0
E38,Erasmuspark,4.8511805,52.376243,1.0
E39,De Kolenkit,4.8413775,52.3786475,2.0
E40,Geuzenbuurt,4.861403,52.372776,1.0
E41,Van Galenbuurt,4.84956,52.371973,1.0
E42,Hoofdweg e.o.,4.8533065,52.367247,2.0
E43,Westindische Buurt,4.8540625,52.361007,2.0
E75,Chassébuurt,4.8607925,52.367594,1.0
F11,Bedrijventerrein Sloterdijk,4.8011515,52.392202,3.0
F76,Slotermeer-Noordoost,4.8290985,52.3806855,2.0
F77,Slotermeer-Zuidwest,4.820903,52.3722285,3.0
F78,Geuzenveld,4.801818,52.3785475,3.0
F80,Lutkemeer/Ookmeer,4.781191,52.36634,1.0
F81,Osdorp-Oost,4.8078815,52.3584475,3.0
F85,Slotervaart Noord,4.823301,52.3648655,3.0
F86,Overtoomse Veld,4.842175,52.3655225,3.0
F87,Westlandgracht,4.841511,52.347788,2.0
F88,Sloter-/Riekerpolder,4.8191235,52.3393375,2.0
F89,Slotervaart Zuid,4.82624,52.3512645,1.0
K23,Zuidas,4.874758,52.338292,1.0
K24,Oude Pijp,4.8962705,52.356232,3.0
K25,Nieuwe Pijp,4.8973225,52.3520905,2.0
K26,Zuid Pijp,4.9028035,52.3506785,1.0
K44,Hoofddorppleinbuurt,4.8481375,52.3480815,2.0
K45,Schinkelbuurt,4.852877,52.3496455,2.0
K46,Willemspark,4.8627965,52.354371,2.0
K47,Museumkwartier,4.876464,52.355265,3.0
K48,Stadionbuurt,4.8574755,52.3444565,2.0
K49,Apollobuurt,4.875792,52.3480995,2.0
K52,Scheldebuurt,4.8961455,52.3415275,2.0
K53,IJselbuurt,4.9039145,52.3480695,1.0
M31,Indische Buurt West,4.936081,52.362194,2.0
K54,Rijnbuurt,4.9038285,52.3400645,2.0
K59,Prinses Irenebuurt e.o.,4.875265,52.3437075,1.0
K90,Buitenveldert-West,4.848372,52.3301585,2.0
M32,Indische Buurt Oost,4.950387,52.363115,2.0
N74,Elzenhagen,4.9307625,52.4033155,1.0
T92,Amstel III/Bullewijk,4.9505865,52.2987555,2.0
K91,Buitenveldert-Oost,4.8885105,52.329135,2.0
M27,Weesperzijde,4.9105665,52.354353,1.0
M28,Oosterparkbuurt,4.917509,52.3590395,2.0
M29,Dapperbuurt,4.929872,52.3609545,2.0
M30,Transvaalbuurt,4.9213965,52.353946,2.0
M35,IJburg West,4.991164,52.359685,2.0
M33,Oostelijk Havengebied,4.935603,52.3746005,2.0
M50,IJburg Oost,5.0201615,52.3612875,1.0
M51,IJburg Zuid,5.006388,52.3493295,1.0
M55,Frankendael,4.9262095,52.347574,3.0
M56,Middenmeer,4.9489735,52.349646,2.0
M34,Zeeburgereiland/Nieuwe Diep,4.9839185,52.361601,1.0
M57,Betondorp,4.9399395,52.342153,1.0
M58,Omval/Overamstel,4.918914,52.332379,3.0
N60,Volewijck,4.9111675,52.391072,3.0
N61,IJplein/Vogelbuurt,4.9208635,52.3894655,2.0
N62,Tuindorp Nieuwendam,4.9437245,52.3906625,1.0
N63,Tuindorp Buiksloot,4.929074,52.393222,1.0
N64,Nieuwendammerdijk/Buiksloterdijk,4.9335795,52.393568,1.0
N65,Tuindorp Oostzaan,4.891192,52.4102805,2.0
N67,Kadoelen,4.9091525,52.4161945,1.0
N68,Waterlandpleinbuurt,4.9539,52.3945535,1.0
N66,Oostzanerwerf,4.8772435,52.422292,2.0
N69,Buikslotermeer,4.9381745,52.400173,3.0
N70,Banne Buiksloot,4.9165665,52.407933,3.0
N71,Noordelijke IJ-oevers West,4.888284,52.4002125,1.0
N72,Noordelijke IJ-oevers Oost,4.9356245,52.384209,1.0
N73,Waterland,5.0044115,52.3974955,1.0
T93,"Bijlmer Centrum (D,F,H)",4.954521,52.315318,4.0
T95,Nellestein,4.9927425,52.309579,1.0
T94,"Bijlmer Oost (E,G,K)",4.976827,52.3195785,3.0
SAE,Aetsveld,5.0430295,52.299279,1.0
