Fire station Name,Address,latitude,longitude
Fire station Amstelveen,Oranjebaan 1,52.3016997,4.8818308
Fire station Anton ,Langbroekdreef 10,52.308309,4.972099
Fire station Diemen ,D.J. Den Hartoglaan 2,52.3411722,4.9559195
Fire station Dirk ,Honthorststraat 27,52.3579322,4.8859237
Fire Station Driemond (Maxima) ,Lentestraat 30,52.306983,5.019014
Fire station Duivendrecht,Rijksstraatweg 58,52.3322959,4.9316684
Fire station Hendrik ,Marnixstraat 170,52.3725605,4.8669247
Fire station Ijsbrand ,Displaystraat 1,52.4063049,4.8895732
Fire station Nico,IJ-tunnel 4,52.3701069,4.9005251
Fire station Osdorp ,Ookmeerweg 2,52.3665066,4.802105
Fire station Pieter ,Poeldijkstraat 20,52.3488064,4.8436638
Fire station Teunis ,Vredenhofweg 3,52.3845943,4.8633189
Fire station Victor ,Dapperstraat 325,52.3604565,4.920448
Fire station Willem ,Ringdijk 98,52.3488242,4.9148304
Fire station Zebra ,IJdoornlaan 60,52.3962145,4.9548264
