Fire station Name,Address,latitude,longitude
Fire station Amstelveen,Oranjebaan 1,52.30187026,4.88177715
Fire station Anton ,Langbroekdreef 10,52.30742444,4.97326246
Fire station Diemen ,D.J. Den Hartoglaan 2,52.34122656,4.96464743
Fire station Dirk ,Honthorststraat 27,52.35790106,4.8859532
Fire Station Driemond (Maxima) ,Lentestraat 30,52.30697114,5.01931383
Fire station Duivendrecht,Rijksstraatweg 58,52.33239698,4.94041243
Fire station Hendrik ,Marnixstraat 170,52.37256242,4.87565532
Fire station Ijsbrand ,Displaystraat 1,52.40643251,4.88930498
Fire station Nico,IJ-tunnel 4,52.37010431,4.90925773
Fire station Osdorp ,Ookmeerweg 2,52.36636082,4.80218278
Fire station Pieter ,Poeldijkstraat 20,52.34879041,4.84370537
Fire station Teunis ,Vredenhofweg 3,52.38459839,4.86331622
Fire station Victor ,Dapperstraat 325,52.36045023,4.92916923
Fire station Willem ,Ringdijk 98,52.348825,4.9148372
Fire station Zebra ,IJdoornlaan 60,52.39622675,4.95481232
Park De Kuil,Park De Kuil,52.378145,4.792047
Prins Bernhardpark,Prins Bernhardpark,52.346941,4.926532
Bergwijkpark,Bergwijkpark,52.328393,4.957531
Nelson Mandelapark,Nelson Mandelapark,52.306709,4.964399
