naam,code
Kop Zeedijk,A00a
Oude Kerk e.o.,A00b
Burgwallen Oost,A00c
Nes e.o.,A00d
BG-terrein e.o.,A00e
Stationsplein e.o.,A01a
Hemelrijk,A01b
Nieuwendijk Noord,A01c
Spuistraat Noord,A01d
Nieuwe Kerk e.o.,A01e
Spuistraat Zuid,A01f
Begijnhofbuurt,A01g
Kalverdriehoek,A01h
Langestraat e.o.,A02a
Leliegracht e.o.,A02b
Felix Meritisbuurt,A02c
Leidsegracht Noord,A02d
Spiegelbuurt,A03a
Gouden Bocht,A03b
Van Loonbuurt,A03c
Amstelveldbuurt,A03d
Rembrandtpleinbuurt,A03e
Reguliersbuurt,A03f
Leidsegracht Zuid,A03g
Oosterdokseiland,A04a
Scheepvaarthuisbuurt,A04b
Rapenburg,A04c
Lastage,A04d
Nieuwmarkt,A04e
Uilenburg,A04f
Valkenburg,A04g
Zuiderkerkbuurt,A04h
Waterloopleinbuurt,A04i
Westerdokseiland,A05a
Haarlemmerbuurt Oost,A05b
Haarlemmerbuurt West,A05c
Westelijke Eilanden,A05d
Planciusbuurt Noord,A05f
Planciusbuurt Zuid,A05g
Driehoekbuurt,A06a
Bloemgrachtbuurt,A06c
Marnixbuurt Noord,A06d
Zaagpoortbuurt,A06e
Marnixbuurt Midden,A06f
Elandsgrachtbuurt,A06g
Passeerdersgrachtbuurt,A06h
Groenmarktkadebuurt,A06i
Marnixbuurt Zuid,A06j
Anjeliersbuurt Noord,A06k
Anjeliersbuurt Zuid,A06l
Leidsebuurt Noordwest,A07a
Leidsebuurt Zuidwest,A07b
Leidsebuurt Noordoost,A07c
Leidsebuurt Zuidoost,A07d
Weteringbuurt,A07e
Den Texbuurt,A07f
Utrechtsebuurt Zuid,A07g
Frederikspleinbuurt,A07h
Weesperbuurt,A08a
Sarphatistrook,A08b
de Plantage,A08d
Alexanderplein e.o.,A08e
Marine-Etablissement,A09a
Kattenburg,A09b
Wittenburg,A09c
Oostenburg,A09d
Czaar Peterbuurt,A09e
Het Funen,A09f
Kazernebuurt,A09h
Kadijken,A09i
Coenhaven/Mercuriushaven,B10a
Alfa-driehoek,B10b
Petroleumhaven,B10c
Westhaven Noord,B10d
Vervoerscentrum,B10e
Amerikahaven,B10f
Afrikahaven,B10g
Westhaven Zuid,B10h
Houthavens West,E12a
Houthavens Oost,E12b
Zeeheldenbuurt,E13a
Spaarndammerbuurt Noordoost,E13b
Spaarndammerbuurt Zuidoost,E13c
Spaarndammerbuurt Zuidwest,E13d
Spaarndammerbuurt Midden,E13e
Spaarndammerbuurt Noordwest,E13f
