,Latitude,Longitude,Parking Space,Placed fire trucks,Minute range,Part of day
168,52.3637,4.8822,Leidseplein,2,3,Afternoon
197,52.3687,4.8772,Appeltjesmarkt,3,3,Afternoon
204,52.3631,4.8808,Leidsebosje,3,4,Afternoon
205,52.3637,4.8822,Leidseplein,3,4,Afternoon
206,52.3687,4.8772,Appeltjesmarkt,3,4,Afternoon
213,52.3637,4.8822,Leidseplein,3,5,Afternoon
214,52.3687,4.8772,Appeltjesmarkt,3,5,Afternoon
215,52.3631,4.8808,Leidsebosje,3,5,Afternoon
374,52.3612,4.908,Weesperplein,6,4,Afternoon
373,52.3628595,4.8833056,Max Euweplein,6,4,Afternoon
223,52.3631,4.8808,Leidsebosje,4,2,Afternoon
224,52.3637,4.8822,Leidseplein,4,2,Afternoon
225,52.3612,4.908,Weesperplein,4,2,Afternoon
226,52.3687,4.8772,Appeltjesmarkt,4,2,Afternoon
372,52.3713,4.87531,Groenmarkt,6,4,Afternoon
371,52.3687,4.8772,Appeltjesmarkt,6,4,Afternoon
370,52.3637,4.8822,Leidseplein,6,4,Afternoon
369,52.3631,4.8808,Leidsebosje,6,4,Afternoon
196,52.3637,4.8822,Leidseplein,3,3,Afternoon
235,52.3631,4.8808,Leidsebosje,4,3,Afternoon
195,52.3631,4.8808,Leidsebosje,3,3,Afternoon
187,52.3637,4.8822,Leidseplein,3,2,Afternoon
154,52.3631,4.8808,Leidsebosje,1,4,Afternoon
157,52.3637,4.8822,Leidseplein,1,5,Afternoon
161,52.3631,4.8808,Leidsebosje,2,2,Afternoon
162,52.3637,4.8822,Leidseplein,2,2,Afternoon
392,52.366831866,4.886996452,Koningsplein,6,5,Afternoon
391,52.366338,4.88034,Raamplein,6,5,Afternoon
167,52.3631,4.8808,Leidsebosje,2,3,Afternoon
335,52.3612,4.908,Weesperplein,6,2,Afternoon
390,52.3628595,4.8833056,Max Euweplein,6,5,Afternoon
389,52.3631,4.8808,Leidsebosje,6,5,Afternoon
173,52.3631,4.8808,Leidsebosje,2,4,Afternoon
174,52.3637,4.8822,Leidseplein,2,4,Afternoon
388,52.3687,4.8772,Appeltjesmarkt,6,5,Afternoon
387,52.3637,4.8822,Leidseplein,6,5,Afternoon
179,52.3637,4.8822,Leidseplein,2,5,Afternoon
180,52.3687,4.8772,Appeltjesmarkt,2,5,Afternoon
186,52.3631,4.8808,Leidsebosje,3,2,Afternoon
188,52.3612,4.908,Weesperplein,3,2,Afternoon
151,52.3631,4.8808,Leidsebosje,1,3,Afternoon
236,52.3637,4.8822,Leidseplein,4,3,Afternoon
238,52.3628595,4.8833056,Max Euweplein,4,3,Afternoon
290,52.3628595,4.8833056,Max Euweplein,5,3,Afternoon
291,52.3713,4.87531,Groenmarkt,5,3,Afternoon
351,52.3631,4.8808,Leidsebosje,6,3,Afternoon
302,52.3631,4.8808,Leidsebosje,5,4,Afternoon
303,52.3637,4.8822,Leidseplein,5,4,Afternoon
304,52.3687,4.8772,Appeltjesmarkt,5,4,Afternoon
305,52.3713,4.87531,Groenmarkt,5,4,Afternoon
306,52.3628595,4.8833056,Max Euweplein,5,4,Afternoon
317,52.3637,4.8822,Leidseplein,5,5,Afternoon
318,52.3687,4.8772,Appeltjesmarkt,5,5,Afternoon
319,52.3631,4.8808,Leidsebosje,5,5,Afternoon
320,52.3628595,4.8833056,Max Euweplein,5,5,Afternoon
321,52.366338,4.88034,Raamplein,5,5,Afternoon
338,52.354702,4.85755,Vondelpark,6,2,Afternoon
337,52.3713,4.87531,Groenmarkt,6,2,Afternoon
333,52.3631,4.8808,Leidsebosje,6,2,Afternoon
334,52.3637,4.8822,Leidseplein,6,2,Afternoon
289,52.3687,4.8772,Appeltjesmarkt,5,3,Afternoon
237,52.3687,4.8772,Appeltjesmarkt,4,3,Afternoon
288,52.3637,4.8822,Leidseplein,5,3,Afternoon
352,52.3637,4.8822,Leidseplein,6,3,Afternoon
247,52.3631,4.8808,Leidsebosje,4,4,Afternoon
248,52.3637,4.8822,Leidseplein,4,4,Afternoon
249,52.3687,4.8772,Appeltjesmarkt,4,4,Afternoon
250,52.3713,4.87531,Groenmarkt,4,4,Afternoon
259,52.3637,4.8822,Leidseplein,4,5,Afternoon
260,52.3687,4.8772,Appeltjesmarkt,4,5,Afternoon
261,52.3631,4.8808,Leidsebosje,4,5,Afternoon
262,52.3628595,4.8833056,Max Euweplein,4,5,Afternoon
272,52.3631,4.8808,Leidsebosje,5,2,Afternoon
273,52.3637,4.8822,Leidseplein,5,2,Afternoon
274,52.3612,4.908,Weesperplein,5,2,Afternoon
275,52.3687,4.8772,Appeltjesmarkt,5,2,Afternoon
276,52.3713,4.87531,Groenmarkt,5,2,Afternoon
356,52.3612,4.908,Weesperplein,6,3,Afternoon
355,52.3713,4.87531,Groenmarkt,6,3,Afternoon
354,52.3628595,4.8833056,Max Euweplein,6,3,Afternoon
353,52.3687,4.8772,Appeltjesmarkt,6,3,Afternoon
287,52.3631,4.8808,Leidsebosje,5,3,Afternoon
148,52.3631,4.8808,Leidsebosje,1,2,Afternoon
336,52.3687,4.8772,Appeltjesmarkt,6,2,Afternoon
84,52.3713,4.87531,Groenmarkt,5,3,Evening
55,52.3637,4.8822,Leidseplein,4,4,Evening
54,52.3631,4.8808,Leidsebosje,4,4,Evening
53,52.3628595,4.8833056,Max Euweplein,4,3,Evening
52,52.3687,4.8772,Appeltjesmarkt,4,3,Evening
51,52.3637,4.8822,Leidseplein,4,3,Evening
50,52.3631,4.8808,Leidsebosje,4,3,Evening
49,52.3687,4.8772,Appeltjesmarkt,4,2,Evening
48,52.3612,4.908,Weesperplein,4,2,Evening
47,52.3637,4.8822,Leidseplein,4,2,Evening
46,52.3631,4.8808,Leidsebosje,4,2,Evening
83,52.3628595,4.8833056,Max Euweplein,5,3,Evening
56,52.3687,4.8772,Appeltjesmarkt,4,4,Evening
