parkname,ltd,lng
Gerbrandypark,52.3778525,4.8311525
Park Schinkeleilanden,52.344821,4.8506935
Amstelpark,52.329253,4.894538
`t Kleine Loopveld,52.323028,4.87896
Sarphatipark,52.3544025,4.8964085
Frederiksplantsoen,52.360431,4.8996295
Weteringplantsoen,52.3594285,4.890378
Vondelpark,52.3579215,4.8685845
Erasmuspark,52.3747205,4.8517285
Wachterliedplantsoen,52.378726,4.852838
Frederik Hendrikplantsoen,52.378971,4.876858
Eerste Marnixplantsoen,52.381611,4.8804805
Stenenhoofd,52.3890475,4.892654
Wertheimpark,52.367887,4.908609
Oosterpark,52.3602665,4.920452
Darwinplantsoen,52.345328,4.9307695
Onderlangs,52.3390305,4.945415
Noorder-IJplas,52.4231115,4.8661635
Wilmkebreekpolder,52.414333,4.903724
Tolhuisweg,52.383456,4.904657
Rietland,52.387807,4.9445585
Schellingwouderbreekpark,52.3884495,4.9525125
Diermerpark,52.350403,4.992508
Theo van Goghpark,52.349688,5.006652
Leidsebosje,52.3628195,4.8806095
Kasterlee park,52.348383,4.810301
De Hoge Dijk,52.285186,4.9665815
Noorderpark,52.394261,4.920416
Spaarndammerplantsoen,52.389843,4.875429
IJ-oever Overhoeks,52.3865115,4.9000605
W.H. Vliegenbos,52.38912,4.932012
Flevopark,52.3619155,4.950641
Gijsbrecht van Aemstelpark,52.3292965,4.8738565
Martin Luther Kingpark,52.339249,4.90742
Voorlandpad,52.3429915,4.952593
Vrije Geer,52.3453325,4.7981385
Gaasperzoom,52.294172,4.9885325
Diemerbos,52.3155585,5.0087905
Baanakkerspark,52.396912,4.942826
Gaasperpark,52.307265,4.986649
Frankendael,52.3505375,4.9299635
Siegerpark,52.340566,4.819177
Buikslotermeerpark,52.398411,4.9506585
Park De Kuil,52.377187,4.7909895
Oeverpark Schellingwoude,52.3859635,4.9591825
Westerpark,52.387176,4.868896
Bijlmerweide,52.322413,4.9832695
Stadspark Osdorp,52.355164,4.7996555
Beatrixpark,52.342766,4.8813735
Nelson Mandelapark,52.3097395,4.963438
Meerpark,52.3476945,4.948462
Keerkringpark,52.411305,4.8767205
Westertochtpark,52.41597,4.875209
Kadoelerscheg,52.4106465,4.911246
Buiksloterbreekpark,52.4036875,4.907056
Kristoffel Plantijnpad,52.3466455,4.821805
Wibautpark,52.352498,4.91374
Museumplein,52.3573425,4.881665
Funenpark,52.369082,4.930322
Lutkemeerpark,52.362362,4.7611315
Bergwijkpark,52.326703,4.9567105
Bilderdijkpark,52.3719415,4.8703145
Amsterdamse Bos,52.311693,4.8261625
De Hoftuin,52.3656495,4.9043365
Overlooppad,52.3660275,4.908857
Plantage Westermann,52.3652655,4.913256
Rembrandtplein,52.3660045,4.896821
Oostenburgerpark,52.3691545,4.9253115
Apollolaan,52.35051,4.8722265
De Zwijgerplantsoen,52.376465,4.8633805
Surinameplein,52.358513,4.851184
Albert Neuhuys,52.3552235,4.851072
Koningin Wilhelminaplantsoen (?),52.3538335,4.8376545
Polderheuvel Tuinen van West,52.379707,4.7778245
Julianaparkje,52.3465425,4.9215125
Prins Bernhardpark,52.3479885,4.9264535
Galiliëplantsoen,52.3535535,4.9389685
Rietlandpark,52.3720805,4.9359625
Keesje Brijdeplantsoen,52.3737855,4.946386
Sloterpark,52.3695525,4.8209725
Sloterpark,52.3598115,4.815982
Sloterpark,52.3644235,4.822467
Sloterpark,52.357669,4.813994
Sloterpark,52.360122,4.8137765
Sloterpark,52.365132,4.822537
Sloterpark,52.363323,4.811918
Sloterpark,52.3659175,4.823652
Sloterpark,52.3718185,4.8063045
Sloterpark,52.364475,4.8216105
Sloterpark,52.3678505,4.818755
Sloterpark,52.367742,4.8141295
Sloterpark,52.3718905,4.8260935
Sloterstrand,52.3715385,4.82136
Weesperzijde,52.352305,4.9099775
Park Somerlust,52.3406585,4.916705
Park Somerlust,52.3406115,4.9175605
Bogortuin,52.3774275,4.935036
Bogortuin,52.3767715,4.936017
Bogortuim,52.377063,4.93457
Natuurtuin De Wiedijk,52.356458,4.8170355
Piet Wiedijkpark,52.3537325,4.8182585
De Oeverlanden,52.3333805,4.8138715
De Oeverlanden,52.335081,4.83128
De Oeverlanden,52.3352405,4.816122
De Oeverlanden,52.333477,4.811475
Sloterpark,52.369653,4.8123465
Sloterpark,52.3701455,4.808944
Eendrachtspark,52.3819725,4.8104185
Eendrachtspark,52.3735885,4.806989
Eendrachtspark,52.3763485,4.80777
Eendrachtspark,52.379115,4.8082995
Eendrachtspark,52.3816695,4.8079585
Rembrandtpark,52.366968,4.8491985
Rembrandtpark,52.3648155,4.8454655
Rembrandtpark,52.363811,4.8474295
Rembrandtpark,52.3586215,4.844046
Woonomgeving Rembrandtpark west,52.3636795,4.8439155
Sloterpark,52.3640235,4.8232955
Sloterpark,52.361998,4.820176
Geuzenbos,52.3942475,4.764703
De Bretten,52.388314,4.788476
Bella Vistapark,52.3382525,4.91709355
