OBJECTNUMMER,Functie,Functie_gecorrigeerd,VOT_ID,Adres,Aantal_adressen,Gebruiksdoel,WOZ_gebruik,Hoofdfunctie,Hoofdfunctie_ID,Gebruiksoppervlakte,lng,lat,Unnamed: 17
3,wijk- / buurtcentrum,0,363010000557297,Aalbersestraat 248A,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,347,4.798151,52.379948,
178,wijk- / buurtcentrum,0,363010000558592,Achterlaan 3,0,sportfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,139,4.966282,52.406431,
404,wijk- / buurtcentrum,0,363010000953384,Akersingel 207,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,0,4.774148,52.353709,
437,wijk- / buurtcentrum,0,363010001036097,Albatrospad 68,0,gezondheidszorgfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,0,4.922714,52.387809,
901,wijk- / buurtcentrum,0,363010012078590,Amstelpark 23,0,overige gebruiksfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,13,4.892029,52.332429,
1450,wijk- / buurtcentrum,0,363010001033703,Arent Janszoon Ernststraat 112,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,1699,4.878225,52.332316,
1866,wijk- / buurtcentrum,0,363010000948034,Balboastraat 18,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,1156,4.855365,52.369344,
1961,wijk- / buurtcentrum,0,363010000909930,Barbusselaan 114,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,287,4.943363,52.320625,
2101,wijk- / buurtcentrum,0,363010012078983,Batjanstraat 68,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,140,4.938866,52.359344,
2112,wijk- / buurtcentrum,0,363010000936539,Beemsterstraat 491,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,508,4.94936,52.395334,
2865,wijk- / buurtcentrum,0,363010000585817,Bilderdijkpark 12A,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,343,4.869189,52.371247,
3542,wijk- / buurtcentrum,0,363010000594150,Botterstraat 185,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,477,4.911304,52.406727,
4940,wijk- / buurtcentrum,0,363010000606469,Columbusplein 1/H,0,sportfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,124,4.855848,52.365769,
5626,wijk- / buurtcentrum,0,363010000614833,Danie Theronstraat 2,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,1962,4.915728,52.352658,
6232,wijk- / buurtcentrum,0,363010001002791,De Wittenstraat 116,0,kantoorfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,41,4.877371,52.382517,
6345,wijk- / buurtcentrum,0,363010000556158,Derde Oosterparkstraat 159,0,bijeenkomstfunctie|kantoorfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,821,4.920227,52.357529,
6596,wijk- / buurtcentrum,0,363010000624243,Dirk Sonoystraat 155,0,sportfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,222,4.804433,52.378056,
6641,wijk- / buurtcentrum,0,363010000624578,Distelweg 4,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,170,4.91085,52.391536,
6691,wijk- / buurtcentrum,0,363010010953664,Dollardpad 50,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,206,4.942354,52.398058,
6692,wijk- / buurtcentrum,0,363010010953665,Dollardplein 1,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,287,4.942383,52.398112,
6785,wijk- / buurtcentrum,0,363010000625745,Dorpsweg Ransdorp 35,0,onderwijsfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,105,4.994295,52.392732,
6968,wijk- / buurtcentrum,0,363010000924993,Dwaze Moeders plein 1,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,131,4.808103,52.355623,
7568,wijk- / buurtcentrum,0,363010001034831,Ekingenstraat 11,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,0,4.796889,52.356682,
7871,wijk- / buurtcentrum,0,363010012108948,Erasmusgracht 26,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,102,4.853222,52.376596,
8222,wijk- / buurtcentrum,0,363010012088399,Fizeaustraat 3,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,22,4.926756,52.34507,
8279,wijk- / buurtcentrum,0,363010000821176,Fortuinstraat 4,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,259,4.923816,52.372318,
8489,wijk- / buurtcentrum,0,363010000641401,Gaaspstraat 8,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,903,4.907753,52.34504,
8505,wijk- / buurtcentrum,0,363010001988011,Galjootstraat 71,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,234,4.986425,52.364646,
8812,wijk- / buurtcentrum,0,363010001000693,Geldershoofd 80,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,1261,4.971893,52.323469,
9260,wijk- / buurtcentrum,0,363010000651566,Groenburgwal 44,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,714,4.897618,52.368456,
9316,wijk- / buurtcentrum,0,363010001987030,Grubbehoeve 38,2,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,334,4.977309,52.321484,
9536,wijk- / buurtcentrum,0,363010000654454,H. Cleyndertweg 63B,0,sportfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,155,4.935908,52.401988,
9649,wijk- / buurtcentrum,0,363010000902977,Haardstee 251,0,woonfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,96,4.951861,52.311084,
10052,wijk- / buurtcentrum,0,363010000795489,Hageland 119,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,494,4.812499,52.345947,
10578,wijk- / buurtcentrum,0,363010000661469,Heliotroopstraat 27,0,kantoorfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,72,4.91654,52.396592,
10685,wijk- / buurtcentrum,0,363010000663491,Henrick de Keijserplein 45,0,woonfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,63,4.898059,52.351112,
11139,wijk- / buurtcentrum,0,363010012061332,Heverleestraat 2A,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,236,4.812096,52.344255,
11144,wijk- / buurtcentrum,0,363010000941121,Hildsven 218,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,100,4.941187,52.400174,
11229,wijk- / buurtcentrum,0,363010000668738,Hofgeest 140,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,1009,4.956576,52.311713,
11244,wijk- / buurtcentrum,0,363010012074345,Hofmeyrstraat 67,0,bijeenkomstfunctie|kantoorfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,421,4.91746,52.351307,
11330,wijk- / buurtcentrum,0,363010012100910,Holendrechtplein 36,0,bijeenkomstfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,1221,4.964352,52.298969,
11485,wijk- / buurtcentrum,0,363010000672396,Hoogheemraadweg 5,0,sportfunctie,wijk- / buurtcentrum,Wijk / buurtcentrum,G,941,4.782163,52.357974,
