origin_coords,demand_coords,travel_time,wijkcode,wijknaam
52.334105_4.893702,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.395654_4.944886,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.340804_4.881667,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.3373954_4.9180886,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.328393_4.957531,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.403142_4.906788,52.372295_4.897634,601,A00,Burgwallen-Oude Zijde
52.4059_4.941451,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.352356_4.991526,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.380601_4.808558,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.373553_4.852268,52.372295_4.897634,100000,A00,Burgwallen-Oude Zijde
52.363338_4.953024,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.370423_4.932634,52.372295_4.897634,428,A00,Burgwallen-Oude Zijde
52.307704_5.002509,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.378434_4.830374,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.3282_4.882657,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.346118_4.922209,52.372295_4.897634,451,A00,Burgwallen-Oude Zijde
52.349677_4.810143,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.36465_4.762661,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.339341_4.908426,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.34695_4.94993,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.306709_4.964399,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.391106_4.916855,52.372295_4.897634,482,A00,Burgwallen-Oude Zijde
52.385283_4.963883,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.368785_4.926183,52.372295_4.897634,376,A00,Burgwallen-Oude Zijde
52.378145_4.792047,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.343193_4.850315,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.340692_4.917866,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.353057_4.817727,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.346941_4.926532,52.372295_4.897634,568,A00,Burgwallen-Oude Zijde
52.362706_4.844943,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.372161_4.934287,52.372295_4.897634,393,A00,Burgwallen-Oude Zijde
52.353412_4.894705,52.372295_4.897634,432,A00,Burgwallen-Oude Zijde
52.389867_4.953788,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.339242_4.818469,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.360758_4.816634,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.353159_4.800874,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.35059_5.003941,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.354702_4.85755,52.372295_4.897634,668,A00,Burgwallen-Oude Zijde
52.367799_4.909432,52.372295_4.897634,308,A00,Burgwallen-Oude Zijde
52.415937_4.875358,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.36326_4.844275,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.3624_4.8977,52.372295_4.897634,406,A00,Burgwallen-Oude Zijde
52.3687_4.8772,52.372295_4.897634,417,A00,Burgwallen-Oude Zijde
52.366_4.9165,52.372295_4.897634,365,A00,Burgwallen-Oude Zijde
52.3999_4.9354,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.3668_4.8913,52.372295_4.897634,315,A00,Burgwallen-Oude Zijde
52.3731_4.8926,52.372295_4.897634,198,A00,Burgwallen-Oude Zijde
52.3713_4.87531,52.372295_4.897634,378,A00,Burgwallen-Oude Zijde
52.3594_4.8977,52.372295_4.897634,386,A00,Burgwallen-Oude Zijde
52.3849549_4.881195,52.372295_4.897634,315,A00,Burgwallen-Oude Zijde
52.3794976_4.8919539,52.372295_4.897634,358,A00,Burgwallen-Oude Zijde
52.366831866_4.886996452,52.372295_4.897634,363,A00,Burgwallen-Oude Zijde
52.37551_4.88661,52.372295_4.897634,421,A00,Burgwallen-Oude Zijde
52.3631_4.8808,52.372295_4.897634,473,A00,Burgwallen-Oude Zijde
52.3637_4.8822,52.372295_4.897634,492,A00,Burgwallen-Oude Zijde
52.380101_4.8825396,52.372295_4.897634,403,A00,Burgwallen-Oude Zijde
52.3628595_4.8833056,52.372295_4.897634,499,A00,Burgwallen-Oude Zijde
52.3891743_4.8308528,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.366831866_4.889329776,52.372295_4.897634,346,A00,Burgwallen-Oude Zijde
52.3792_4.8866,52.372295_4.897634,379,A00,Burgwallen-Oude Zijde
52.371165182_4.891996432,52.372295_4.897634,286,A00,Burgwallen-Oude Zijde
52.366338_4.88034,52.372295_4.897634,485,A00,Burgwallen-Oude Zijde
52.36599_4.89594,52.372295_4.897634,266,A00,Burgwallen-Oude Zijde
52.3688_4.8895,52.372295_4.897634,311,A00,Burgwallen-Oude Zijde
52.377142358729_4.883511152465,52.372295_4.897634,423,A00,Burgwallen-Oude Zijde
52.40204_4.89471,52.372295_4.897634,636,A00,Burgwallen-Oude Zijde
52.3612_4.908,52.372295_4.897634,272,A00,Burgwallen-Oude Zijde
52.3740734_4.8840706,52.372295_4.897634,300,A00,Burgwallen-Oude Zijde
52.334105_4.893702,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.395654_4.944886,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.340804_4.881667,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.3373954_4.9180886,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.328393_4.957531,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.403142_4.906788,52.374935_4.897118,664,A01,Burgwallen-Nieuwe Zijde
52.4059_4.941451,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.352356_4.991526,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.380601_4.808558,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.373553_4.852268,52.374935_4.897118,100000,A01,Burgwallen-Nieuwe Zijde
52.363338_4.953024,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.370423_4.932634,52.374935_4.897118,494,A01,Burgwallen-Nieuwe Zijde
52.307704_5.002509,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.378434_4.830374,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.3282_4.882657,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.346118_4.922209,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.349677_4.810143,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.36465_4.762661,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.339341_4.908426,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.34695_4.94993,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.306709_4.964399,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.391106_4.916855,52.374935_4.897118,544,A01,Burgwallen-Nieuwe Zijde
52.385283_4.963883,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.368785_4.926183,52.374935_4.897118,443,A01,Burgwallen-Nieuwe Zijde
52.378145_4.792047,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.343193_4.850315,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.340692_4.917866,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.353057_4.817727,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.346941_4.926532,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.362706_4.844943,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.372161_4.934287,52.374935_4.897118,460,A01,Burgwallen-Nieuwe Zijde
52.353412_4.894705,52.374935_4.897118,458,A01,Burgwallen-Nieuwe Zijde
52.389867_4.953788,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.339242_4.818469,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.360758_4.816634,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.353159_4.800874,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.35059_5.003941,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.354702_4.85755,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.367799_4.909432,52.374935_4.897118,343,A01,Burgwallen-Nieuwe Zijde
52.415937_4.875358,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.36326_4.844275,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.3624_4.8977,52.374935_4.897118,307,A01,Burgwallen-Nieuwe Zijde
52.3687_4.8772,52.374935_4.897118,284,A01,Burgwallen-Nieuwe Zijde
52.366_4.9165,52.374935_4.897118,400,A01,Burgwallen-Nieuwe Zijde
52.3999_4.9354,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.3668_4.8913,52.374935_4.897118,201,A01,Burgwallen-Nieuwe Zijde
52.3731_4.8926,52.374935_4.897118,65,A01,Burgwallen-Nieuwe Zijde
52.3713_4.87531,52.374935_4.897118,245,A01,Burgwallen-Nieuwe Zijde
52.3594_4.8977,52.374935_4.897118,378,A01,Burgwallen-Nieuwe Zijde
52.3849549_4.881195,52.374935_4.897118,288,A01,Burgwallen-Nieuwe Zijde
52.3794976_4.8919539,52.374935_4.897118,277,A01,Burgwallen-Nieuwe Zijde
52.366831866_4.886996452,52.374935_4.897118,249,A01,Burgwallen-Nieuwe Zijde
52.37551_4.88661,52.374935_4.897118,288,A01,Burgwallen-Nieuwe Zijde
52.3631_4.8808,52.374935_4.897118,340,A01,Burgwallen-Nieuwe Zijde
52.3637_4.8822,52.374935_4.897118,359,A01,Burgwallen-Nieuwe Zijde
52.380101_4.8825396,52.374935_4.897118,374,A01,Burgwallen-Nieuwe Zijde
52.3628595_4.8833056,52.374935_4.897118,382,A01,Burgwallen-Nieuwe Zijde
