origin_coords,demand_coords,travel_time,wijkcode,wijknaam
52.3016997_4.8818308,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.308309_4.972099,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.3411722_4.9559195,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.3579322_4.8859237,52.372295_4.897634,458,A00,Burgwallen-Oude Zijde
52.306983_5.019014,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.3322959_4.9316684,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.3725605_4.8669247,52.372295_4.897634,543,A00,Burgwallen-Oude Zijde
52.4063049_4.8895732,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.3701069_4.9005251,52.372295_4.897634,149,A00,Burgwallen-Oude Zijde
52.3665066_4.802105,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.3488064_4.8436638,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.3845943_4.8633189,52.372295_4.897634,424,A00,Burgwallen-Oude Zijde
52.3604565_4.920448,52.372295_4.897634,365,A00,Burgwallen-Oude Zijde
52.3488242_4.9148304,52.372295_4.897634,472,A00,Burgwallen-Oude Zijde
52.3962145_4.9548264,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.3016997_4.8818308,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.308309_4.972099,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.3411722_4.9559195,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.3579322_4.8859237,52.374935_4.897118,387,A01,Burgwallen-Nieuwe Zijde
52.306983_5.019014,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.3322959_4.9316684,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.3725605_4.8669247,52.374935_4.897118,410,A01,Burgwallen-Nieuwe Zijde
52.4063049_4.8895732,52.374935_4.897118,736,A01,Burgwallen-Nieuwe Zijde
52.3701069_4.9005251,52.374935_4.897118,272,A01,Burgwallen-Nieuwe Zijde
52.3665066_4.802105,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.3488064_4.8436638,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.3845943_4.8633189,52.374935_4.897118,397,A01,Burgwallen-Nieuwe Zijde
52.3604565_4.920448,52.374935_4.897118,392,A01,Burgwallen-Nieuwe Zijde
52.3488242_4.9148304,52.374935_4.897118,499,A01,Burgwallen-Nieuwe Zijde
52.3962145_4.9548264,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.3016997_4.8818308,52.373349_4.8882135,99999,A02,Grachtengordel-West
52.308309_4.972099,52.373349_4.8882135,99999,A02,Grachtengordel-West
52.3411722_4.9559195,52.373349_4.8882135,99999,A02,Grachtengordel-West
52.3579322_4.8859237,52.373349_4.8882135,288,A02,Grachtengordel-West
52.306983_5.019014,52.373349_4.8882135,99999,A02,Grachtengordel-West
52.3322959_4.9316684,52.373349_4.8882135,99999,A02,Grachtengordel-West
52.3725605_4.8669247,52.373349_4.8882135,287,A02,Grachtengordel-West
52.4063049_4.8895732,52.373349_4.8882135,725,A02,Grachtengordel-West
52.3701069_4.9005251,52.373349_4.8882135,281,A02,Grachtengordel-West
52.3665066_4.802105,52.373349_4.8882135,99999,A02,Grachtengordel-West
52.3488064_4.8436638,52.373349_4.8882135,99999,A02,Grachtengordel-West
52.3845943_4.8633189,52.373349_4.8882135,324,A02,Grachtengordel-West
52.3604565_4.920448,52.373349_4.8882135,391,A02,Grachtengordel-West
52.3488242_4.9148304,52.373349_4.8882135,498,A02,Grachtengordel-West
52.3962145_4.9548264,52.373349_4.8882135,99999,A02,Grachtengordel-West
52.3016997_4.8818308,52.365051_4.892784,99999,A03,Grachtengordel-Zuid
52.308309_4.972099,52.365051_4.892784,99999,A03,Grachtengordel-Zuid
52.3411722_4.9559195,52.365051_4.892784,99999,A03,Grachtengordel-Zuid
52.3579322_4.8859237,52.365051_4.892784,197,A03,Grachtengordel-Zuid
52.306983_5.019014,52.365051_4.892784,99999,A03,Grachtengordel-Zuid
52.3322959_4.9316684,52.365051_4.892784,99999,A03,Grachtengordel-Zuid
52.3725605_4.8669247,52.365051_4.892784,485,A03,Grachtengordel-Zuid
52.4063049_4.8895732,52.365051_4.892784,99999,A03,Grachtengordel-Zuid
52.3701069_4.9005251,52.365051_4.892784,350,A03,Grachtengordel-Zuid
52.3665066_4.802105,52.365051_4.892784,99999,A03,Grachtengordel-Zuid
52.3488064_4.8436638,52.365051_4.892784,99999,A03,Grachtengordel-Zuid
52.3845943_4.8633189,52.365051_4.892784,526,A03,Grachtengordel-Zuid
52.3604565_4.920448,52.365051_4.892784,317,A03,Grachtengordel-Zuid
52.3488242_4.9148304,52.365051_4.892784,403,A03,Grachtengordel-Zuid
52.3962145_4.9548264,52.365051_4.892784,99999,A03,Grachtengordel-Zuid
52.3016997_4.8818308,52.37291_4.904438,99999,A04,Nieuwmarkt/Lastage
52.308309_4.972099,52.37291_4.904438,99999,A04,Nieuwmarkt/Lastage
52.3411722_4.9559195,52.37291_4.904438,99999,A04,Nieuwmarkt/Lastage
52.3579322_4.8859237,52.37291_4.904438,407,A04,Nieuwmarkt/Lastage
52.306983_5.019014,52.37291_4.904438,99999,A04,Nieuwmarkt/Lastage
52.3322959_4.9316684,52.37291_4.904438,99999,A04,Nieuwmarkt/Lastage
52.3725605_4.8669247,52.37291_4.904438,532,A04,Nieuwmarkt/Lastage
52.4063049_4.8895732,52.37291_4.904438,99999,A04,Nieuwmarkt/Lastage
52.3701069_4.9005251,52.37291_4.904438,130,A04,Nieuwmarkt/Lastage
52.3665066_4.802105,52.37291_4.904438,99999,A04,Nieuwmarkt/Lastage
52.3488064_4.8436638,52.37291_4.904438,99999,A04,Nieuwmarkt/Lastage
52.3845943_4.8633189,52.37291_4.904438,375,A04,Nieuwmarkt/Lastage
52.3604565_4.920448,52.37291_4.904438,314,A04,Nieuwmarkt/Lastage
52.3488242_4.9148304,52.37291_4.904438,421,A04,Nieuwmarkt/Lastage
52.3962145_4.9548264,52.37291_4.904438,99999,A04,Nieuwmarkt/Lastage
