origin_coords,demand_coords,travel_time,wijkcode,wijknaam
52.30187026_4.88177715,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.30742444_4.97326246,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.34122656_4.96464743,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.35790106_4.8859532,52.372295_4.897634,483,A00,Burgwallen-Oude Zijde
52.30697114_5.01931383,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.33239698_4.94041243,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.37256242_4.87565532,52.372295_4.897634,361,A00,Burgwallen-Oude Zijde
52.40643251_4.88930498,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.37010431_4.90925773,52.372295_4.897634,238,A00,Burgwallen-Oude Zijde
52.36636082_4.80218278,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.34879041_4.84370537,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.38459839_4.86331622,52.372295_4.897634,424,A00,Burgwallen-Oude Zijde
52.36045023_4.92916923,52.372295_4.897634,457,A00,Burgwallen-Oude Zijde
52.348825_4.9148372,52.372295_4.897634,472,A00,Burgwallen-Oude Zijde
52.39622675_4.95481232,52.372295_4.897634,99999,A00,Burgwallen-Oude Zijde
52.30187026_4.88177715,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.30742444_4.97326246,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.34122656_4.96464743,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.35790106_4.8859532,52.374935_4.897118,412,A01,Burgwallen-Nieuwe Zijde
52.30697114_5.01931383,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.33239698_4.94041243,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.37256242_4.87565532,52.374935_4.897118,228,A01,Burgwallen-Nieuwe Zijde
52.40643251_4.88930498,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.37010431_4.90925773,52.374935_4.897118,305,A01,Burgwallen-Nieuwe Zijde
52.36636082_4.80218278,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.34879041_4.84370537,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.38459839_4.86331622,52.374935_4.897118,397,A01,Burgwallen-Nieuwe Zijde
52.36045023_4.92916923,52.374935_4.897118,483,A01,Burgwallen-Nieuwe Zijde
52.348825_4.9148372,52.374935_4.897118,499,A01,Burgwallen-Nieuwe Zijde
52.39622675_4.95481232,52.374935_4.897118,99999,A01,Burgwallen-Nieuwe Zijde
52.30187026_4.88177715,52.373349_4.8882135,99999,A02,Grachtengordel-West
52.30742444_4.97326246,52.373349_4.8882135,99999,A02,Grachtengordel-West
52.34122656_4.96464743,52.373349_4.8882135,99999,A02,Grachtengordel-West
52.35790106_4.8859532,52.373349_4.8882135,312,A02,Grachtengordel-West
52.30697114_5.01931383,52.373349_4.8882135,99999,A02,Grachtengordel-West
52.33239698_4.94041243,52.373349_4.8882135,99999,A02,Grachtengordel-West
