buurt,prioriteit,dagdeel,uur,code,LAT,LNG
,1,Avond,770,,,
,1,Middag,942,,,
,1,Nacht,427,,,
,1,Ochtend,804,,,
,2,Avond,159,,,
,2,Middag,138,,,
,2,Nacht,103,,,
,2,Ochtend,51,,,
,3,Avond,4,,,
,3,Middag,4,,,
,3,Nacht,3,,,
,3,Ochtend,10,,,
Akkerland,1,Avond,12,,,
Akkerland,1,Middag,12,,,
Akkerland,1,Nacht,7,,,
Akkerland,1,Ochtend,3,,,
Akkerland,2,Avond,9,,,
Akkerland,2,Middag,2,,,
Akkerland,2,Nacht,6,,,
Akkerland,2,Ochtend,2,,,
Akkerland,3,Middag,1,,,
Amstel III/Bullewijk,1,Avond,175,T92,52.2987555,4.9505865
Amstel III/Bullewijk,1,Middag,223,T92,52.2987555,4.9505865
Amstel III/Bullewijk,1,Nacht,91,T92,52.2987555,4.9505865
Amstel III/Bullewijk,1,Ochtend,183,T92,52.2987555,4.9505865
Amstel III/Bullewijk,2,Avond,16,T92,52.2987555,4.9505865
Amstel III/Bullewijk,2,Middag,9,T92,52.2987555,4.9505865
Amstel III/Bullewijk,2,Nacht,3,T92,52.2987555,4.9505865
Amstel III/Bullewijk,2,Ochtend,2,T92,52.2987555,4.9505865
Amstel III/Bullewijk,3,Middag,2,T92,52.2987555,4.9505865
Amstel III/Bullewijk,3,Ochtend,1,T92,52.2987555,4.9505865
Amsterdamse Bos,1,Avond,13,,,
Amsterdamse Bos,1,Middag,16,,,
Amsterdamse Bos,1,Nacht,11,,,
Amsterdamse Bos,1,Ochtend,7,,,
Amsterdamse Bos,2,Avond,8,,,
Amsterdamse Bos,2,Nacht,4,,,
Amsterdamse Bos,2,Ochtend,3,,,
Anne Frank,1,Avond,1,,,
Apollobuurt,1,Avond,61,K49,52.3480995,4.875792
Apollobuurt,1,Middag,59,K49,52.3480995,4.875792
Apollobuurt,1,Nacht,36,K49,52.3480995,4.875792
Apollobuurt,1,Ochtend,47,K49,52.3480995,4.875792
Apollobuurt,2,Avond,14,K49,52.3480995,4.875792
Apollobuurt,2,Middag,13,K49,52.3480995,4.875792
Apollobuurt,2,Nacht,9,K49,52.3480995,4.875792
Apollobuurt,2,Ochtend,3,K49,52.3480995,4.875792
Bankras,1,Avond,123,,,
Bankras,1,Middag,183,,,
Bankras,1,Nacht,26,,,
Bankras,1,Ochtend,84,,,
Bankras,2,Avond,14,,,
Bankras,2,Middag,8,,,
Bankras,2,Nacht,2,,,
Bankras,2,Ochtend,2,,,
Bankras,3,Ochtend,1,,,
Banne Buiksloot,1,Avond,136,N70,52.407933,4.9165665
Banne Buiksloot,1,Middag,98,N70,52.407933,4.9165665
Banne Buiksloot,1,Nacht,97,N70,52.407933,4.9165665
Banne Buiksloot,1,Ochtend,40,N70,52.407933,4.9165665
Banne Buiksloot,2,Avond,45,N70,52.407933,4.9165665
Banne Buiksloot,2,Middag,25,N70,52.407933,4.9165665
Banne Buiksloot,2,Nacht,26,N70,52.407933,4.9165665
Banne Buiksloot,2,Ochtend,13,N70,52.407933,4.9165665
Banne Buiksloot,3,Avond,2,N70,52.407933,4.9165665
Bedrijventerrein,1,Avond,24,F11,52.392202,4.8011515
Bedrijventerrein,1,Middag,29,F11,52.392202,4.8011515
Bedrijventerrein,1,Nacht,19,F11,52.392202,4.8011515
Bedrijventerrein,1,Ochtend,19,F11,52.392202,4.8011515
Bedrijventerrein,2,Avond,5,F11,52.392202,4.8011515
Bedrijventerrein,2,Middag,1,F11,52.392202,4.8011515
Bedrijventerrein,2,Nacht,1,F11,52.392202,4.8011515
Bedrijventerrein,2,Ochtend,2,F11,52.392202,4.8011515
Bedrijventerrein Sloterdijk,1,Avond,121,F11,52.392202,4.8011515
Bedrijventerrein Sloterdijk,1,Middag,123,F11,52.392202,4.8011515
Bedrijventerrein Sloterdijk,1,Nacht,86,F11,52.392202,4.8011515
Bedrijventerrein Sloterdijk,1,Ochtend,124,F11,52.392202,4.8011515
Bedrijventerrein Sloterdijk,2,Avond,10,F11,52.392202,4.8011515
Bedrijventerrein Sloterdijk,2,Middag,15,F11,52.392202,4.8011515
Bedrijventerrein Sloterdijk,2,Nacht,16,F11,52.392202,4.8011515
Bedrijventerrein Sloterdijk,2,Ochtend,7,F11,52.392202,4.8011515
Bedrijventerrein Sloterdijk,3,Avond,2,F11,52.392202,4.8011515
Bedrijventerrein Sloterdijk,3,Nacht,1,F11,52.392202,4.8011515
Bedrijventerrein Sloterdijk,3,Ochtend,1,F11,52.392202,4.8011515
Bergwijkpark,1,Avond,31,,,
Bergwijkpark,1,Middag,23,,,
Bergwijkpark,1,Nacht,9,,,
Bergwijkpark,1,Ochtend,17,,,
Bergwijkpark,2,Avond,6,,,
Bergwijkpark,2,Middag,6,,,
Bergwijkpark,2,Nacht,4,,,
Bergwijkpark,2,Ochtend,3,,,
Betondorp,1,Avond,26,M57,52.342153,4.9399395
Betondorp,1,Middag,31,M57,52.342153,4.9399395
Betondorp,1,Nacht,27,M57,52.342153,4.9399395
Betondorp,1,Ochtend,14,M57,52.342153,4.9399395
Betondorp,2,Avond,10,M57,52.342153,4.9399395
