wijk,prioriteit,dagdeel,count,code,LAT,LNG
Amstel III/Bullewijk,1,Avond,175,T92,52.2987555,4.9505865
Amstel III/Bullewijk,1,Middag,223,T92,52.2987555,4.9505865
Amstel III/Bullewijk,1,Nacht,91,T92,52.2987555,4.9505865
Amstel III/Bullewijk,1,Ochtend,183,T92,52.2987555,4.9505865
Amstel III/Bullewijk,2,Avond,16,T92,52.2987555,4.9505865
Amstel III/Bullewijk,2,Middag,9,T92,52.2987555,4.9505865
Amstel III/Bullewijk,2,Nacht,3,T92,52.2987555,4.9505865
Amstel III/Bullewijk,2,Ochtend,2,T92,52.2987555,4.9505865
Amstel III/Bullewijk,3,Middag,2,T92,52.2987555,4.9505865
Amstel III/Bullewijk,3,Ochtend,1,T92,52.2987555,4.9505865
Apollobuurt,1,Avond,61,K49,52.3480995,4.875792
Apollobuurt,1,Middag,59,K49,52.3480995,4.875792
Apollobuurt,1,Nacht,36,K49,52.3480995,4.875792
Apollobuurt,1,Ochtend,47,K49,52.3480995,4.875792
Apollobuurt,2,Avond,14,K49,52.3480995,4.875792
Apollobuurt,2,Middag,13,K49,52.3480995,4.875792
Apollobuurt,2,Nacht,9,K49,52.3480995,4.875792
Apollobuurt,2,Ochtend,3,K49,52.3480995,4.875792
Banne Buiksloot,1,Avond,136,N70,52.407933,4.9165665
Banne Buiksloot,1,Middag,98,N70,52.407933,4.9165665
Banne Buiksloot,1,Nacht,97,N70,52.407933,4.9165665
Banne Buiksloot,1,Ochtend,40,N70,52.407933,4.9165665
Banne Buiksloot,2,Avond,45,N70,52.407933,4.9165665
Banne Buiksloot,2,Middag,25,N70,52.407933,4.9165665
Banne Buiksloot,2,Nacht,26,N70,52.407933,4.9165665
Banne Buiksloot,2,Ochtend,13,N70,52.407933,4.9165665
Banne Buiksloot,3,Avond,2,N70,52.407933,4.9165665
Bedrijventerrein,1,Avond,24,F11,52.392202,4.8011515
Bedrijventerrein,1,Middag,29,F11,52.392202,4.8011515
Bedrijventerrein,1,Nacht,19,F11,52.392202,4.8011515
Bedrijventerrein,1,Ochtend,19,F11,52.392202,4.8011515
Bedrijventerrein,2,Avond,5,F11,52.392202,4.8011515
Bedrijventerrein,2,Middag,1,F11,52.392202,4.8011515
Bedrijventerrein,2,Nacht,1,F11,52.392202,4.8011515
Bedrijventerrein,2,Ochtend,2,F11,52.392202,4.8011515
Bedrijventerrein Sloterdijk,1,Avond,121,F11,52.392202,4.8011515
Bedrijventerrein Sloterdijk,1,Middag,123,F11,52.392202,4.8011515
Bedrijventerrein Sloterdijk,1,Nacht,86,F11,52.392202,4.8011515
Bedrijventerrein Sloterdijk,1,Ochtend,124,F11,52.392202,4.8011515
Bedrijventerrein Sloterdijk,2,Avond,10,F11,52.392202,4.8011515
Bedrijventerrein Sloterdijk,2,Middag,15,F11,52.392202,4.8011515
Bedrijventerrein Sloterdijk,2,Nacht,16,F11,52.392202,4.8011515
Bedrijventerrein Sloterdijk,2,Ochtend,7,F11,52.392202,4.8011515
Bedrijventerrein Sloterdijk,3,Avond,2,F11,52.392202,4.8011515
Bedrijventerrein Sloterdijk,3,Nacht,1,F11,52.392202,4.8011515
Bedrijventerrein Sloterdijk,3,Ochtend,1,F11,52.392202,4.8011515
